2025-02-11T08:12:31.580486-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:12:52.299708-05:00 - INFO - n_sampled = 1259919, replacement = [Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [0, 2, 9], control_func: 12 }, Gate { wires: [0, 6, 9], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 344.95325ms
2025-02-11T08:12:52.346194-05:00 - INFO - n_sampled = 178352, replacement = [Gate { wires: [3, 8, 1], control_func: 0 }, Gate { wires: [0, 2, 3], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 46.467ms
2025-02-11T08:12:52.380058-05:00 - INFO - n_sampled = 122510, replacement = [Gate { wires: [3, 5, 0], control_func: 14 }, Gate { wires: [3, 5, 0], control_func: 14 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 33.856292ms
2025-02-11T08:12:52.542918-05:00 - INFO - n_sampled = 612856, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 7, 1], control_func: 0 }, Gate { wires: [3, 0, 10], control_func: 0 }], time = 162.846708ms
2025-02-11T08:12:52.781076-05:00 - INFO - n_sampled = 900185, replacement = [Gate { wires: [0, 4, 2], control_func: 0 }, Gate { wires: [0, 5, 1], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 238.144584ms
2025-02-11T08:12:52.898521-05:00 - INFO - n_sampled = 438726, replacement = [Gate { wires: [0, 4, 6], control_func: 3 }, Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 4, 2], control_func: 6 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 117.424416ms
2025-02-11T08:12:52.963955-05:00 - INFO - n_sampled = 260478, replacement = [Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [0, 4, 2], control_func: 6 }, Gate { wires: [3, 0, 10], control_func: 3 }, Gate { wires: [0, 4, 10], control_func: 12 }], time = 65.424459ms
2025-02-11T08:12:53.128536-05:00 - INFO - n_sampled = 593637, replacement = [Gate { wires: [0, 1, 4], control_func: 9 }, Gate { wires: [0, 2, 4], control_func: 6 }, Gate { wires: [0, 1, 2], control_func: 13 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 164.537917ms
2025-02-11T08:12:53.562513-05:00 - INFO - n_sampled = 1651948, replacement = [Gate { wires: [0, 4, 7], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 6 }, Gate { wires: [0, 3, 2], control_func: 0 }], time = 433.952542ms
2025-02-11T08:12:53.570930-05:00 - INFO - n_sampled = 36438, replacement = [Gate { wires: [0, 3, 8], control_func: 0 }, Gate { wires: [0, 1, 3], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 8.408292ms
2025-02-11T08:12:53.641858-05:00 - INFO - n_sampled = 285018, replacement = [Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [3, 0, 5], control_func: 0 }, Gate { wires: [0, 2, 3], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 6 }], time = 70.918333ms
